sent;sentcorrect;level
Er tritt mit mehreren Vorlesungen im Auslan vor d. Wo ist den Gastgeschenk?;Er tritt mit mehreren Vorlesungen im Auslan vor d. Wo ist das Gastgeschenk?;1
Jeder erinnert sich gerne an Ihre Gastfreundschaft Der Orchester gab ein schönes Gastkonzert in Rom. Das Konzert eröffnete der Gastdirigen t Das Ballett des Bolschoi-Theaters unternahm eine Gasttournee nach Frankreich.;Jeder erinnert sich gerne an Ihre Gastfreundschaft. Der Orchester gab ein schönes Gastkonzert in Rom. Das Konzert eröffnete der Gastdirigen t Das Ballett des Bolschoi-Theaters unternahm eine Gasttournee nach Frankreich.;0
Jeder erinnert sich gerne an Ihre Gastfreundschaft Der Orchester gab ein schönes Gastkonzert in Rom. Das Konzert eröffnete der Gastdirigen t Das Ballett des Bolschoi-Theaters unternahm eine Gasttournee nach Frankreich.;Jeder erinnert sich gerne an Ihre Gastfreundschaft. Der Orchester gab ein schönes Gastkonzert in Rom. Das Konzert eröffnete der Gastdirigen t Das Ballett des Bolschoi-Theaters unternahm eine Gasttournee nach Frankreich.;0
Das Seminar wird von einem Gastdozenten geleitet;Das Seminar wird von einem Gastdozenten geleitet.;0
3 Sätzen die wichtigsten Informationen über die dritte Einwanderungswelle.;In 3 Sätzen die wichtigsten Informationen über die dritte Einwanderungswelle.;1
Gastprofessors, m – Vorlesungen von Gastprofessoren werden oft an unserer Universität gehalte n Gastvorlesungen, f - Unser Dozent hält oft Gastvorlesungen im Ausland.;Gastprofessors, m – Vorlesungen von Gastprofessoren werden oft an unserer Universität gehalte. n Gastvorlesungen, f - Unser Dozent hält oft Gastvorlesungen im Ausland.;0
Gastspiel, n - Während der Gastspiel waren Sie in 10 Ländern.;Gastspiel, n - Während des Gastspiels waren Sie in 10 Ländern.;1
Wo ein Gastgeschenk?;Wo ist ein Gastgeschenk?;2
Alle mit Vergnügen erinnern Sie sich an Ihre Gastfreundschaft.;Alle erinnern sich mit Vergnügen an Ihre Gastfreundschaft.;1
Das Orchester gab einen schönen Gastkonzert in Rom.;Das Orchester gab ein schönes Gastkonzert in Rom.;1
Ballett des Bolschoi-Theat er s er machte eine Gastspielreise nach Frankreich.;Ballett des Bolschoi-Theat s er machte eine Gastspielreise nach Frankreich.;1
Seminar führt der Gastdozent.;Das Seminar führt der Gastdozent.;0
Bekannte Professoren und junge Wissenschaftler werden an die Arbeit heranziehen.;Bekannte Professoren und junge Wissenschaftler werden an die Arbeit herangezogen.;2
Wir mussten weitermachen, was bereits erreicht wurde.;Wir mussten das weitermachen, was bereits erreicht wurde.;1
Viele geladene Gasthörer waren im Saal.;Viele eingeladene Gasthörer waren im Saal.;1
Der Gastprofessor wird zwei Tage an unserer Universität teilnehmen.;Der Gastprofessor wird zwei Tage an wissenschaftlichen Treffen in unserer Universität teilnehmen..;1
Morgen wird auf der Bühne unseres Theaters eines Gastspiel stattfinden.;Morgen wird auf der Bühne unseres Theaters ein Gastspiel stattfinden.;1
#14 1.Wann werden die Vorlesungen des zu uns Gastprofessor stattfinden?;#14 1.Wann werden die Vorlesungen des zu uns angekommenen Gastprofessor stattfinden?;1
Das Orchester gab ein schönes Konzert in Rom (als Gastspiel).?;Das Orchester gab ein schönes Konzert in Rom (als Gastspiel).;1
Im Publikum Nummer 238 wird heute ein Gastdozent auftreten!;Im Raum Nummer 238 wird heute ein Gastdozent auftreten!;2
Es wird die Gasthörer auf deinem Auftritt sein, aber sie sind genauso Studenten wie du.;Zu deinem Auftritt kommen auch Gasthörer, aber sie sind genauso Studenten wie du.;2
Zu deinem Auftritt kommen auch Gasthörer, aber sie sind genauso Studenten wie du. bist;Zu deinem Auftritt kommen auch Gasthörer, aber sie sind genauso Studenten wie du.;0
Jetzt hatten wir eine Gastvorlesung von einem Gastprofessor!;Wir hatten gerade eine Gastvorlesung von einem Gastprofessor!;0
Wir hatten gerade eine Gastvorlesung von dem Gastprofessor!;Wir hatten gerade eine Gastvorlesung von einem Gastprofessor!;0
Er hat die mehrere Vorträge im Ausland.;Er hat mehrere Vorträge im Ausland.;0
Das Ballett des Bolschoi-Theaters unternehmen eine Gastspielreise nach Frankreich.;Das Ballett des Bolschoi-Theaters unternimmt eine Gastspielreise nach Frankreich.;1
Das Seminar wird von einem Gastdozenten geleitet.;Das Seminar wird von einem einem Gastdozenten geleitet.;0
Das Seminar wird von einem Gastdozent geleitet.;Das Seminar wird von einem einem Gastdozenten geleitet.;0
Sein Kollege Olli hat sich einen Hund gekauft und überlässt den Welpen Benno.;Sein Kollege Olli hat sich einen Hund gekauft und den Welpen Benno überlassen.;1
Will sich vielleicht.;Er Will sich vielleicht.;2
Er Will sich vlt.;Er Will sich vielleicht.;2
Rudi braucht das Geld für sein Studium, Felix will genauso wie Olli eine Reise unternehmen, vlt.;Rudi braucht das Geld für sein Studium, Felix will genauso wie Olli eine Reise unternehmen, vielleicht.;2
Ich denke, dass er eintweder in einem Flieger ist, oder bereits in Island chillt, wie er vorher mit seinen Plänen gemeint hat.;Ich denke, dass er entweder in einem Flieger ist, oder bereits in Island chillt, wie er vorher mit seinen Plänen gemeint hat.;0
Ich denke dass er entweder in einem Flieger ist, oder bereits in Island chillt, wie er vorher mit seinen Plänen gemeint hat.;Ich denke, dass er entweder in einem Flieger ist, oder bereits in Island chillt, wie er vorher mit seinen Plänen gemeint hat.;0
Leo will er dem neuen Mitbewohner lieber nicht begegnen.;Leo will  dem neuen Mitbewohner lieber nicht begegnen.;1
Leo will d mitem neuen Mitbewohner lieber nicht begegnen.;Leo will dem neuen Mitbewohner lieber nicht begegnen.;1
2019 habe ich einen Sommerjob als Zimmermädchen im Hotel PITER INN bekommen, nach dem Beginn meines Studiums musste ich auf einen Teilzeitjob umsteigen.;2019 habe ich einen Sommerjob als Zimmermädchen im Hotel PITER INN bekommen, seit dem Beginn meines Studiums musste ich auf einen Teilzeitjob umsteigen.;1
2019 habe ich einen Sommerjob als Zimmermädchen im Hotel PITER INN bekommen, seit Beginn meines Studiums musste ich auf einen Teilzeitjob umsteigen.;2019 habe ich einen Sommerjob als Zimmermädchen im Hotel PITER INN bekommen, seit dem Beginn meines Studiums musste ich auf einen Teilzeitjob umsteigen.;0
Benno hängt am Hund, er verbringt gerne Zeit damit.;Benno hängt am Hund, er verbringt gerne Zeit mit ihm.;1
Vielleicht, wurde Fips sein bester Freund.;Vielleicht wurde Fips sein bester Freund.;0
Vielleicht Fips wurde sein bester Freund.;Vielleicht wurde Fips sein bester Freund.;1
Aber zur Zeit hat Benno einen Job auf der Messe hanseboot.;"Aber zur Zeit hat Benno einen Job auf der Messe ""Hanseboot"".";1
Kleine Wohnung üb der Kneipe Leo & Co, wenig Miete. Er bekommt er plötzlich einen neuen Mitbewohner und einige Probleme.;Kleine Wohnung üb der Kneipe Leo & Co., wenig Miete. Er bekommt er plötzlich einen neuen Mitbewohner und einige Probleme.;0
Kleine Wohnung üb er der Kneipe Leo & Co., wenig Miete. Er bekommt er plötzlich einen neuen Mitbewohner und einige Probleme.;Kleine Wohnung üb der Kneipe Leo & Co., wenig Miete. Er bekommt er plötzlich einen neuen Mitbewohner und einige Probleme.;1
Acht Tage Aufbau, eine Woche Messe, drei Tage Abbau, jeden Tag 15 – 16 Stunden Arbeit, von morgens 7 Uhr bis 10 oder 11 Uhr abends. Anna ist Studentin und jobbt auch bei Leo&Co.;Acht Tage Aufbau, eine Woche Messe, drei Tage Abbau, jeden Tag 15 – 16 Stunden Arbeit, von 7 Uhr morgens bis 10 oder 11 Uhr abends. Anna ist Studentin und jobbt auch bei Leo&Co.;1
Acht Tage Aufbau, eine Woche Messe, drei Tage Abbau, jeden Tag 15 – 16 Stunden Arbeit, von 7 Uhr morgens bis 10 oder 11 Uhr abends Anna ist Studentin und jobbt auch bei Leo&Co.;Acht Tage Aufbau, eine Woche Messe, drei Tage Abbau, jeden Tag 15 – 16 Stunden Arbeit, von 7 Uhr morgens bis 10 oder 11 Uhr abends. Anna ist Studentin und jobbt auch bei Leo&Co.;0
Olli hat auf der hanseboot gejobbt, jeden Tag fast 16 Stunden, und möchte für vier Wochen oder länger nach Island fahren.;"Olli hat auf der ""Hanseboot"" gejobbt, jeden Tag fast 16 Stunden, und möchte für vier Wochen oder länger nach Island fahren.";1
"Olli hat auf der ""Hanseboot"" gejobbt jeden Tag fast 16 Stunden, und möchte für vier Wochen oder länger nach Island fahren.";"Olli hat auf der ""Hanseboot"" gejobbt, jeden Tag fast 16 Stunden, und möchte für vier Wochen oder länger nach Island fahren.";1
"Olli hat auf der ""Hanseboot"" gejobbt, jeden Tag fast 16 Stunden, und möchte vier Wochen oder länger nach Island fahren.";"Olli hat auf der ""Hanseboot"" gejobbt, jeden Tag fast 16 Stunden, und möchte für vier Wochen oder länger nach Island fahren.";1
Rudi braucht das Geld für das/sein Studium.;Rudi braucht das Geld für sein Studium.;0
Das war, als ich 18 Jahre war.;Das war, als ich 18 Jahre alt war.;1
Ich arbeitete als eine Kellnerin in einem Restaurant.;Ich arbeitete als Kellnerin in einem Restaurant.;0
"Privat: Er wird Geld auf die Bank legen. Arbeit: Benno wohnt in einer kleinen Wohnung über dem Lokal Leo & Co. Aber zur Zeit hat Benno einen Job auf der Messe ""Hanseboot"".";"Privat: Er wird Geld auf die Bank liegen lassen. Arbeit: Benno wohnt in einer kleinen Wohnung über dem Lokal Leo & Co. Aber zur Zeit hat Benno einen Job auf der Messe ""Hanseboot"".";1
"Privat: Er wird Geld auf die Bank liegen lassen Arbeit: Benno wohnt in einer kleinen Wohnung über dem Lokal Leo & Co. Aber zur Zeit hat Benno einen Job auf der Messe ""Hanseboot"".";"Privat: Er wird Geld auf die Bank liegen lassen. Arbeit: Benno wohnt in einer kleinen Wohnung über dem Lokal Leo & Co. Aber zur Zeit hat Benno einen Job auf der Messe ""Hanseboot"".";0
Privat: Er wird Geld auf die Bank liegen lassen. Arbeit: Benno wohnt in einer kleinen Wohnung über dem Lokal Leo & Co. Aber zur Zeit hat Benno einen Job auf der Messe hanseboot.;"Privat: Er wird Geld auf die Bank liegen lassen. Arbeit: Benno wohnt in einer kleinen Wohnung über dem Lokal Leo & Co. Aber zur Zeit hat Benno einen Job auf der Messe ""Hanseboot"".";1
ich habe dearbeitet an der Rezeption in Hotel und Ich habe als Kellner gearbeitet.;ich habe an der Rezeption in einem Hotel gearbeitet und Ich habe als Kellner gearbeitet.;1
Ich wurde für meine Arbeit nicht bezahlt.;Meine Arbeit wurde nicht bezahlt.;1
Rudi brauch Geld für Studium.;Rudi braucht Geld für Studium.;1
Ich arbeite jetzt im zweiten Jahr im Musiktheater.;Ich arbeite jetzt seit zwei Jahren im Musiktheater.;1
Ich arbeite jetzt seit zwei Jahren am Musiktheater.;Ich arbeite jetzt seit zwei Jahren im Musiktheater.;1
Im Sommer habe ich während meiner Praxis in einem Restaurant gearbeitet.;Im Sommer habe ich während meines Praktikums in einem Restaurant gearbeitet.;2
Dann ging Benno in sein Zimmer und fand dort ein Karton mit einem Welpen.;Dann ging Benno in sein Zimmer und fand dort einen Karton mit einem Welpen.;1
Fast sechs Jahren arbeite ich 4 bis 10 Stunden täglich von 10 Uhr morgens bis 9 Uhr abends in einem Bekleidungsgeschäft.;Fast sechs Jahre arbeite ich 4 bis 10 Stunden täglich von 10 Uhr morgens bis 9 Uhr abends in einem Bekleidungsgeschäft.;1
Ich bereite das Produkt für den Verkauf vor und präsentiere im Verkaufsraum.;Ich bereite das Produkt für den Verkauf vor und präsentiere es im Verkaufsraum.;1
In dieser Geschichte bekommter plötzlich einen neuen Mitbewohner und einige Probleme.;In dieser Geschichte bekommt er plötzlich einen neuen Mitbewohner und einige Probleme.;1
Ich interessiere mich fur Theater und besuche Theater gern.;Ich interessiere mich fuer Theater und besuche Theater gern.;0
Wenn besuchte Ich Theater, war das ueber den zweiten Weltkrieg in Karelia.;Wenn ich Theater besuchte, war das ueber den zweiten Weltkrieg in Karelia.;1
Wenn ich Theater besuchte, das war ueber den zweiten Weltkrieg in Karelia.;Wenn ich Theater besuchte, war das ueber den zweiten Weltkrieg in Karelia.;1
Wenn ich Theater besuchte, war das ueber zweiten Weltkrieg in Karelia.;Wenn ich Theater besuchte, war das ueber den zweiten Weltkrieg in Karelia.;0
Das war ein Theaterstück, wenn Frauen kriegten.;Im Theaterstück ging es darum, wie Frauen im Krieg kämpften.;2
Die Schauspielerinen sind schoen und talentiert.;Die Schauspielerinnen sind schoen und talentiert.;0
Ich und meine Freunde ass viele belegte Brötchen und tranken Saft.;Ich und meine Freunde aßen viele belegte Brötchen und tranken Saft.;1
Ich und meine Freunde aßen viele Buterbroten und tranken Saft.;Ich und meine Freunde aßen viele belegte Brötchen und tranken Saft.;1
Ich und meine Freunde aßen viele belegte Brötchen und Saft getrunken.;Ich und meine Freunde aßen viele belegte Brötchen und tranken Saft.;1
Das war ein Drama.;Das Theaterstück war ein Drama.;2
Der Zuschauerraum war gefüllt.;Der Zuschauerraum war voll.;1
Das letzte Mal, dass ich das Theater besucht habe, ist zwei oder drei Jahre her.;Das letzte Mal, als ich das Theater besucht habe, ist zwei oder drei Jahre her.;1
Theater sind also nichts für mich.;Theater sind also nicht für mich.;0
Eines Tages besuchten ich und meine Klassenkameradin Julia das Musiktheater.;Eines Tages besuchten ich und meine Kommilitoini Julia das Musiktheater.;1
Es war das erste Mal, dass ich das Theater besuchte.;Es war das erste Mal, als ich das Theater besuchte.;1
Dann begann die Inszenierung und ich war voll in den Prozess involviert.;Dann begann die Inszenierung, und ich war voll in den Prozess involviert.;0
Abschließend werde ich sagen, dass ich dieses Theaterstück sehr mochte und es hat bei mir viele Emotionen hervorgerufen.;Abschließend sage ich, dass ich dieses Theaterstück sehr mochte und es hat bei mir viele Emotionen hervorgerufen.;2
Abschließend sage ich, dass ich diesen Theaterstuck sehr mochte und es hat bei mir viele Emotionen hervorgerufen.;Abschließend sage ich, dass ich dieses Theaterstück sehr mochte und es hat bei mir viele Emotionen hervorgerufen.;1
Abschließend sage ich, dass ich dieses Theaterstück mochte sehr und es hat bei mir viele Emotionen hervorgerufen.;Abschließend sage ich, dass ich dieses Theaterstück sehr mochte und es hat bei mir viele Emotionen hervorgerufen.;1
Abschließend sage ich, dass ich dieses Theaterstück sehr mochte und es hat mich viele Emotionen hervorgerufen.;Abschließend sage ich, dass ich dieses Theaterstück sehr mochte und es hat bei mir viele Emotionen hervorgerufen.;1
In der Schule gingen wir mit der ganzen Klasse nach Sortawala für ein Stück nach der Geschichte von Boris Vasilyev Und die Morgendämmerung ist hier ruhig.;In der Schule fuhren wir mit der ganzen Klasse nach Sortawala für ein Stück nach der Geschichte von Boris Vasilyev Und die Morgendämmerung ist hier ruhig.;1
In der Schule fuhren wir alle Klasse nach Sortawala für ein Stück nach der Geschichte von Boris Vasilyev Und die Morgendämmerung ist hier ruhig.;In der Schule fuhren wir mit der ganzen Klasse nach Sortawala für ein Stück nach der Geschichte von Boris Vasilyev Und die Morgendämmerung ist hier ruhig.;1
In der Schule fuhren wir mit der ganzen Klasse nach Sortaval für ein Stück nach der Geschichte von Boris Vasilyev Und die Morgendämmerung ist hier ruhig.;In der Schule fuhren wir mit der ganzen Klasse nach Sortawala für ein Stück nach der Geschichte von Boris Vasilyev Und die Morgendämmerung ist hier ruhig.;0
Auf der Bühne gab es wenig Kulissen.;Auf der Bühne gab es wenige Kulissen.;0
Auch sie hatten gute Kostüme und Make-up.;Sie hatten außerdem gute Kostüme und Make-up.;1
Auch Kinder aus anderen Schulen sprachen manchmal sehr laut und störten alles.;Auch Kinder aus anderen Schulen sprachen manchmal sehr laut und störten alle.;1
Dann gefiel mir das Theaterstück und diese Atmosphäre sehr gut.;So gefiel mir das Theaterstück und diese Atmosphäre sehr gut.;1
Ich bin Tänzerin und trete oft auf der Bühne unseres Theaters.;Ich bin Tänzerin und trete oft auf der Bühne unseres Theaters auf..;1
Ich habe das Stück und die Spiel der Schauspieler genossen.;Ich habe das Stück und das Spiel der Schauspieler genossen.;1
Das Publikum war mit der Stüch zufrieden.;Das Publikum war mit dem Stück zufrieden.;1
Der ganze Saal applaudiert stehend.;Der ganze Saal applaudierte stehend.;1
Hervorgegangen aus dem Theater habe ich sofort meine Eindrücke geteilt.;Beim Herauskommen aus dem Theater habe ich sofort meine Eindrücke geteilt.;1
Beim Herauskommen aus dem Theater habe ich sofort teilten Ihre Eindrücke.;Beim Herauskommen aus dem Theater habe ich sofort meine Eindrücke geteilt.;1
Mein Lieblingsgenre Horrorfilm oder Thriller ist, und ich sehe normalerweise Dokumentarfilme nicht, dieser Film hat mir aber sehr gut gefallen.;Mein Lieblingsgenre ist Horrorfilm oder Thriller, und ich sehe normalerweise Dokumentarfilme nicht, dieser Film hat mir aber sehr gut gefallen.;1
Mein Lieblingsgenre ist Horrorfilm oder Thriller und ich sehe normalerweise Dokumentarfilme nicht, dieser Film hat mir aber sehr gut gefallen.;Mein Lieblingsgenre ist Horrorfilm oder Thriller, und ich sehe normalerweise Dokumentarfilme nicht, dieser Film hat mir aber sehr gut gefallen.;0
Mein Lieblingsgenre ist Horrorfilm oder Thriller, und ich normalerweise Dokumentarfilme nicht sehen, dieser Film hat mir aber sehr gut gefallen.;Mein Lieblingsgenre ist Horrorfilm oder Thriller, und ich sehe normalerweise Dokumentarfilme nicht, dieser Film hat mir aber sehr gut gefallen.;1
Mein Lieblingsgenre ist Horrorfilm oder Thriller, und ich sehe normalerweise Dokumentarfilme nicht, hat mir dieser Film sehr gut gefallen.;Mein Lieblingsgenre ist Horrorfilm oder Thriller, und ich sehe normalerweise Dokumentarfilme nicht, dieser Film hat mir aber sehr gut gefallen.;1
Das letzte Mal war ich schon lange im Theater.;Das letzte Mal war ich schon lange her im Theater.;1
Ich kann mich nicht erinnern, was das Stück es war.;Ich kann mich nicht erinnern, was für ein Stück es war.;1
Ich kann mich nicht erinnern, was für ein Stück war.;Ich kann mich nicht erinnern, was für ein Stück es war.;1
Es hat mir gefallen und ich wollte Schauspielerin werden.;Es hat mir gefallen, und ich wollte Schauspielerin werden.;0
"Sie spielten eine Tragödie namens ""Cyrano"".";"Man spielte eine Tragödie namens ""Cyrano"".";1
Man spielte eine Tragödie namens Cyrano.;"Man spielte eine Tragödie namens ""Cyrano"".";0
Es dauerte zwei Stunden, aber sie unbemerkt vorbei gingen.;Es dauerte zwei Stunden, aber sie gingen unbemerkt vorbei.;1
Die Schauspieler haben viele Vorhänge, sie bekommen Blumen.;Die Schauspieler kommen mehrmals auf die Bühne, sie bekommen Blumen.;2
Tickets sind ziemlich teue r und ich habe keine Zeit, um das Theater zu besuchen.;Tickets sind ziemlich teue, r und ich habe keine Zeit, um das Theater zu besuchen.;0
Es ist sehr schade, dass im Theater unserer Stadt die Plätze im Saal nicht sehr gut liegen.;Es ist sehr schade, dass im Theater unserer Stadt die Plätze im Saal nicht sehr gut angeordnet sind.;1
Normalerweise sehe ich die Szene nicht ganz, mich stören die Leute von vorne.;Normalerweise sehe ich die Bühne nicht ganz, mich stören die Leute von vorne.;1
Aber ich bin zufrieden, jetzt Zuschauer zu sein.;Aber ich bin zufrieden, jetzt Zuschauerin zu sein.;0
In den Hauptrollen - zwei Schwestern.;In den Hauptrollen waren zwei Schwestern.;1
Durch den Film dachte ich darüber nach, was für ein interessantes Leben die Hauptfiguren lebten.;Während des Films dachte ich darüber nach, was für ein interessantes Leben die Hauptfiguren lebten.;1
Ich mochte, wie der Film gedreht wurde.;Mir hat gefallen, wie der Film gedreht wurde.;1
Ich denke, es hatte einen Theaterfolg.;Ich denke, es hatte einen Theatererfolg.;1
Es war eine Komödie darum hat der Zuschauer gelacht.;Es war eine Komödie darum, hat der Zuschauer gelacht.;0
Es war eine Komödie,darum, hat der Zuschauer gelacht.;Es war eine Komödie darum, hat der Zuschauer gelacht.;0
Die Schauspieler hatten viele Vorhänge.;Die Schauspieler bekamen viele Vorhänge.;1
Das Stück wurde im Genre des Detektivs und der Komödie geschrieben.;Das Stück wurde im Genre des Krimis und der Komödie geschrieben.;1
Ich war in einer Musikschule und es war wichtig, einem Orchester zuzuhören.;Ich war in einer Musikschule, und es war wichtig, einem Orchester zuzuhören.;0
Ich war in einer Musikschule und es war wichtig, einem Orchester zuzuhören.;Ich war in einer Musikschule, und es war wichtig, einem Orchester zuzuhören.;0
Der Nussknacker ist mein Lieblingsneujahrsballett.;"""Der Nussknacker"" ist mein Lieblingsneujahrsballett.";0
"""Der Nussknacker"" ist mein Lieblings-Neujahrsballett.";"""Der Nussknacker"" ist mein Lieblingsneujahrsballett.";0
Im Musiktheater Kareliens kann man nicht nur zu einem Theaterstück gehen, sondern auch zu einem Rundgang.;Im Musiktheater von Kareliens kann man nicht nur zu einem Theaterstück gehen, sondern auch zu einem Rundgang.;1
Im Musiktheater von Karelien kann man nicht nur zu einem Theaterstück gehen, sondern auch zu einem Rundgang.;Im Musiktheater von Kareliens kann man nicht nur zu einem Theaterstück gehen, sondern auch zu einem Rundgang.;1
Im Musiktheater von Kareliens kann man nicht nur zu einem Theaterstück gehen, sondern auch zu einem Ausflug.;Im Musiktheater von Kareliens kann man nicht nur zu einem Theaterstück gehen, sondern auch zu einem Rundgang.;2
Das ist besonders für Kinder sehr interessant.;Das ist besonders für Kinder interessant.;1
sie kann sehen, was hinter den Kulissen passiert, Trainingsräume und sogar können Sie in die Orchestergrube gehen.;sie können sehen, was hinter den Kulissen passiert, Trainingsräume und sogar können Sie in die Orchestergrube gehen.;1
Ich war schon lange nicht mehr im Theater, aber ich würde gerne Balletaufführung besuchen.;Ich war schon lange nicht mehr im Theater, aber ich würde gerne eine Balletaufführung besuchen.;0
Aber Theaterkarten für gute Plätze im Theater sind immer teuer;Aber Theaterkarten für gute Plätze im Theater sind immer teuer.;0
Ich interessiere mich fur Theater, aber ich gehe nicht oft ins Theater.;Ich interessiere mich für Theater, aber ich gehe nicht oft ins Theater.;0
Ich interessiere mich für Theater aber ich gehe nicht oft ins Theater.;Ich interessiere mich für Theater, aber ich gehe nicht oft ins Theater.;0
Besuche ich das Theater nicht allein.;Ich besuche das Theater nicht allein.;1
Ich k auf e die Theaterkarten im Vorverkauf auf.;Ich k e die Theaterkarten im Vorverkauf auf.;1
Ich gehe gerne in die Theateraufführung, die auf Büchern basieren, die ich gelesen habe.;Ich gehe gerne in die Theateraufführungen, die auf Büchern basieren, die ich gelesen habe.;1
Das letzte Mal, als ich Shakespeares Komödie Was ihr wollt gesehen habe.;Das letzte Mal war es, als ich Shakespeares Komödie Was ihr wollt gesehen habe.;1
Das letzte Mal war es, als ich Shakespeares Komödie 12 Night gesehen habe.;Das letzte Mal war es, als ich Shakespeares Komödie Was ihr wollt gesehen habe.;0
Der Schauspieler und die Schauspielerinen haben großartig gespielt.;Der Schauspieler und die Schauspielerinnen haben großartig gespielt.;0
Auch dieser Mann sieht, dass der Junge Brot und Tabak hat.;Dieser Mann sieht außerdem, dass der Junge Brot und Tabak hat.;1
